Date,Flow (MGD),Velocity (ft/s),Depth (inches),Rainfall (inches)
2018-04-04 18:00:00,0.11,0.73,3.24,0.0
2018-04-04 18:15:00,0.18,1.19,3.22,0.0
2018-04-04 18:30:00,0.1,0.64,3.23,0.0
2018-04-04 18:45:00,0.11,0.74,3.19,0.0
2018-04-04 19:00:00,0.1,0.65,3.29,0.0
2018-04-04 19:15:00,0.12,0.75,3.25,0.0
2018-04-04 19:30:00,0.12,0.76,3.31,0.0
2018-04-04 19:45:00,0.11,0.72,3.25,0.0
2018-04-04 20:00:00,0.1,0.66,3.28,0.0
2018-04-04 20:15:00,0.11,0.69,3.27,0.0
2018-04-04 20:30:00,0.1,0.7,3.18,0.0
2018-04-04 20:45:00,0.11,0.73,3.2,0.0
2018-04-04 21:00:00,0.1,0.68,3.24,0.0
2018-04-04 21:15:00,0.1,0.67,3.13,0.0
2018-04-04 21:30:00,0.09,0.63,3.11,0.0
2018-04-04 21:45:00,0.1,0.73,3.08,0.0
2018-04-04 22:00:00,0.1,0.65,3.18,0.0
2018-04-04 22:15:00,0.1,0.68,3.23,0.0
2018-04-04 22:30:00,0.1,0.71,3.16,0.0
2018-04-04 22:45:00,0.11,0.72,3.2,0.0
2018-04-04 23:00:00,0.09,0.63,3.17,0.0
2018-04-04 23:15:00,0.1,0.64,3.24,0.0
2018-04-04 23:30:00,0.1,0.69,3.12,0.0
2018-04-04 23:45:00,0.1,0.69,3.16,0.0
2018-04-05 00:00:00,0.1,0.72,3.07,0.0
2018-04-05 00:15:00,0.11,0.72,3.16,0.0
2018-04-05 00:30:00,0.1,0.71,3.09,0.0
2018-04-05 00:45:00,0.09,0.66,3.05,0.0
2018-04-05 01:00:00,0.1,0.73,3.09,0.0
2018-04-05 01:15:00,0.1,0.72,3.06,0.0
2018-04-05 01:30:00,0.1,0.72,2.98,0.0
2018-04-05 01:45:00,0.09,0.67,3.01,0.0
2018-04-05 02:00:00,0.09,0.69,3.01,0.0
2018-04-05 02:15:00,0.08,0.61,2.99,0.0
2018-04-05 02:30:00,0.08,0.63,2.98,0.0
2018-04-05 02:45:00,0.09,0.64,3.02,0.0
2018-04-05 03:00:00,0.13,0.94,2.99,0.0
2018-04-05 03:15:00,0.08,0.61,3.03,0.0
2018-04-05 03:30:00,0.09,0.62,3.02,0.0
2018-04-05 03:45:00,0.1,0.69,3.04,0.0
2018-04-05 04:00:00,0.08,0.61,3.02,0.0
